COMID,date,Observed_Sediment_Flux,reservoir_capacity,relief,cropland_pct,forest_pct,shrubland_pct,grassland_pct,tundra_pct,wetland_pct,impervious_pct,bare_areas_pct,water_body_pct,perm_snow_ice_pct,longest_paths,Maximum_Temperature,Minimum_Temperature,Mean_Temperature,modelled_discharge,precipitation,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,Population,uparea,gdp_ud_usu,snowfall,sum_evaporation,sum_mean_surface_downward_long_wave_radiation,sum_mean_surface_downward_short_wave_radiation,sum_precipitation,sum_snowfall,sum_runoff,pre_mm_cyr,pre_mm_uyr,pet_mm_cyr,pet_mm_uyr,aet_mm_cyr,aet_mm_uyr,run_mm_cyr,ari_ix_cav,ari_ix_uav,ele_mt_cav,ele_mt_uav,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,rev_mc_usu,dor_pc_pva,lit_cl_cmj,ero_kh_cav,ero_kh_uav,ppd_pk_cav,ppd_pk_uav,urb_pc_use,evaporation,mean_surface_downward_long_wave_radiation,mean_surface_downward_short_wave_radiation
74068275,1/21/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,273.91486,273.69012,273.99435,490.53793,0.000143094,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0.000131766,-3.850320458,43973456.39,11448270.21,21.04151,19.37573349,1.814116942,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.62E-05,299.04352,77.85449
74068275,1/22/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,273.441,273.1181,272.89502,470.76306,8.77E-05,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,8.00E-05,-3.610309588,41877264.46,14573205.99,12.90224314,11.75719466,1.787489668,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.46E-05,284.78827,99.10576
74068275,1/23/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,273.05573,272.29163,273.41705,452.59622,5.19E-08,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,5.04E-08,-3.702840244,34724655.12,23695965.92,0.007637064,0.007412822,1.786233887,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.52E-05,236.14662,161.14551
74068275,1/24/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,276.4033,275.61438,276.25302,435.43585,2.22E-05,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-3.996599003,36919809.69,21449237.54,3.257438665,0,1.81212416,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.72E-05,251.07487,145.86653
74068275,1/25/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,276.60675,275.84412,276.40652,419.11987,3.94E-06,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,1.22E-07,-3.496990307,39975283.4,17319816.27,0.579378966,0.018003483,1.714905351,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.38E-05,271.85376,117.78421
74068275,1/26/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,277.88007,277.48706,277.3058,403.42853,0.000117608,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,1.31E-07,-4.136315575,42560628.69,14204065.05,17.29392923,0.019204783,1.918524144,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.81E-05,289.43552,96.5954
74068275,1/27/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,275.0558,274.48615,273.8,388.11288,2.34E-06,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,4.13E-08,-4.199887969,39816865.24,19045980.57,0.344795542,0.006065765,1.638220922,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.86E-05,270.77643,129.52307
74068275,1/28/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,278.6442,278.18988,277.9766,373.38675,4.91E-05,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,3.92E-10,-5.170333849,42789985.27,16824828.08,7.213400049,5.77E-05,1.734055578,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.52E-05,290.99527,114.41802
74068275,1/29/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,282.4526,281.89557,282.16605,359.14108,4.62E-05,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-8.152985466,41724082.65,23126770.46,6.787186046,0,1.695908936,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-5.54E-05,283.74655,157.27467
74068275,1/30/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,280.72266,279.9157,280.2603,345.93393,6.70E-07,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-5.150352807,40860271.14,18300090.48,0.098525822,0,1.551631112,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.50E-05,277.87216,124.45061
